Application/Permit Number,Category,Permit Type,Action Type
6578806,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6409682,,Site Development,SHORELINE EXEMPTION ONLY
6612768,,Site Development,TREE/VEGETATION MAINT/RESTORE
6529715,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6437770,SINGLE FAMILY / DUPLEX,Construction,NEW
6587356,MULTIFAMILY,Demolition,DEMOLITION
6580399,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6564726,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6524389,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6618378,COMMERCIAL,Construction,ADD/ALT
6584946,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6604861,COMMERCIAL,Construction,ADD/ALT
6572385,COMMERCIAL,Construction,NEW
6465204,SINGLE FAMILY / DUPLEX,Construction,NEW
6578362,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6550868,COMMERCIAL,Construction,ADD/ALT
6618072,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6538451,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6575287,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6591399,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6543549,MULTIFAMILY,Construction,ADD/ALT
6564591,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6604620,SINGLE FAMILY / DUPLEX,Construction,NEW
6578431,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6484749,COMMERCIAL,Construction,ADD/ALT
6414455,MULTIFAMILY,Construction,NEW
6617474,SINGLE FAMILY / DUPLEX,Construction,NEW
6578415,COMMERCIAL,Construction,ADD/ALT
6578406,COMMERCIAL,Construction,ADD/ALT
6578407,COMMERCIAL,Construction,ADD/ALT
6578358,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6578389,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6578385,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6578340,MULTIFAMILY,Construction,ADD/ALT
6407815,MULTIFAMILY,Construction,NEW
6549306,INDUSTRIAL,Construction,ADD/ALT
6585035,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6574698,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6575518,COMMERCIAL,Construction,ADD/ALT
6554827,COMMERCIAL,Construction,ADD/ALT
6578737,COMMERCIAL,Construction,ADD/ALT
6578296,COMMERCIAL,Construction,ADD/ALT
6479235,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6575794,,Site Development,TREE/VEGETATION MAINT/RESTORE
6498022,COMMERCIAL,Construction,ADD/ALT
6516363,SINGLE FAMILY / DUPLEX,Construction,NEW
6578216,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6618332,COMMERCIAL,Construction,ADD/ALT
6619468,COMMERCIAL,Construction,ADD/ALT
6577058,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6574591,MULTIFAMILY,Construction,NEW
6604396,COMMERCIAL,Construction,ADD/ALT
6563458,MULTIFAMILY,Construction,NEW
6577721,MULTIFAMILY,Demolition,DEMOLITION
6528641,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6254445,COMMERCIAL,Construction,ADD/ALT
6528588,COMMERCIAL,Construction,NEW
6614008,SINGLE FAMILY / DUPLEX,Construction,NEW
6467866,COMMERCIAL,Demolition,DEMOLITION
6567133,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6618567,COMMERCIAL,Construction,ADD/ALT
6585913,MULTIFAMILY,Construction,ADD/ALT
6586529,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6578024,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6491441,SINGLE FAMILY / DUPLEX,Construction,NEW
6619448,COMMERCIAL,Construction,ADD/ALT
6616392,COMMERCIAL,Construction,ADD/ALT
6563966,MULTIFAMILY,Demolition,DEMOLITION
6591282,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6497437,SINGLE FAMILY / DUPLEX,Construction,NEW
6520047,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6577924,COMMERCIAL,Construction,ADD/ALT
6617533,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6605403,MULTIFAMILY,Construction,ADD/ALT
6577736,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6590999,COMMERCIAL,Construction,ADD/ALT
6577497,MULTIFAMILY,Demolition,DEMOLITION
6577690,COMMERCIAL,Construction,ADD/ALT
6596629,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6618707,MULTIFAMILY,Construction,ADD/ALT
6551928,MULTIFAMILY,Construction,NEW
6619245,SINGLE FAMILY / DUPLEX,Construction,NEW
6452602,SINGLE FAMILY / DUPLEX,Construction,NEW
6604468,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6577508,MULTIFAMILY,Demolition,DEMOLITION
6572782,COMMERCIAL,Construction,ADD/ALT
6618481,INSTITUTIONAL,Construction,NEW
6559306,MULTIFAMILY,Construction,NEW
6564725,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6618344,COMMERCIAL,Construction,ADD/ALT
6561114,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6602333,COMMERCIAL,Construction,ALTER
6535428,MULTIFAMILY,Demolition,DEMOLITION
6582604,INSTITUTIONAL,Demolition,DEMOLITION
6460473,SINGLE FAMILY / DUPLEX,Construction,NEW
6618580,COMMERCIAL,Construction,ADD/ALT
6570131,,Site Development,TREE/VEGETATION MAINT/RESTORE
6617346,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6614303,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6573198,INSTITUTIONAL,Construction,ADD/ALT
6570637,MULTIFAMILY,Construction,NEW
6527379,SINGLE FAMILY / DUPLEX,Construction,NEW
6577274,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6577240,COMMERCIAL,Construction,ADD/ALT
6387693,MULTIFAMILY,Construction,NEW
6605401,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6596962,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6562157,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6577222,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6619502,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6576950,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6075196,MULTIFAMILY,Construction,NEW
6589577,MULTIFAMILY,Construction,NEW
6575387,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6567483,COMMERCIAL,Construction,ADD/ALT
6619008,MULTIFAMILY,Construction,NEW
6577101,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6588924,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6489633,COMMERCIAL,Construction,ADD/ALT
6574121,INDUSTRIAL,Demolition,DEMOLITION
6454312,SINGLE FAMILY / DUPLEX,Construction,NEW
6617027,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6618919,COMMERCIAL,Construction,ADD/ALT
6576879,COMMERCIAL,Demolition,DEMOLITION
6611100,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6576965,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6433899,COMMERCIAL,Construction,ADD/ALT
6562844,COMMERCIAL,Construction,NEW
6616442,COMMERCIAL,Construction,ADD/ALT
6616556,COMMERCIAL,Construction,ADD/ALT
6616845,COMMERCIAL,Construction,ADD/ALT
6576747,MULTIFAMILY,Construction,NEW
6561557,COMMERCIAL,Demolition,DEMOLITION
6501214,COMMERCIAL,Construction,NEW
6603139,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6532169,COMMERCIAL,Construction,ADD/ALT
6460756,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6605055,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6576502,COMMERCIAL,Demolition,DEMOLITION
6544359,COMMERCIAL,Construction,ADD/ALT
6566626,COMMERCIAL,Construction,ADD/ALT
6612432,INDUSTRIAL,Construction,ADD/ALT
6580028,COMMERCIAL,Construction,ALTER
6618862,COMMERCIAL,Construction,ADD/ALT
6576515,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6544200,SINGLE FAMILY / DUPLEX,Construction,NEW
6572507,SINGLE FAMILY / DUPLEX,Construction,NEW
6615840,SINGLE FAMILY / DUPLEX,Construction,NEW
6575812,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6596229,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6426113,MULTIFAMILY,Construction,NEW
6618025,COMMERCIAL,Construction,ADD/ALT
6503249,SINGLE FAMILY / DUPLEX,Construction,NEW
6615486,SINGLE FAMILY / DUPLEX,Construction,NEW
6618361,COMMERCIAL,Construction,ADD/ALT
6576641,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6601109,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6605694,COMMERCIAL,Construction,ADD/ALT
6552404,INDUSTRIAL,Construction,ADD/ALT
6590509,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6611099,MULTIFAMILY,Construction,NEW
6554418,SINGLE FAMILY / DUPLEX,Construction,NEW
6554395,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6576450,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6618979,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6608207,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6576406,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6576351,COMMERCIAL,Construction,ADD/ALT
6576079,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6576007,SINGLE FAMILY / DUPLEX,Construction,NEW
6599731,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6576032,MULTIFAMILY,Demolition,DEMOLITION
6542233,SINGLE FAMILY / DUPLEX,Construction,NEW
6605425,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6602058,SINGLE FAMILY / DUPLEX,Construction,NEW
6618419,SINGLE FAMILY / DUPLEX,Construction,NEW
6618135,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6568189,SINGLE FAMILY / DUPLEX,Site Development,SHORELINE EXEMPTION ONLY
6576136,COMMERCIAL,Construction,ALTER
6619558,SINGLE FAMILY / DUPLEX,Site Development,TREE/VEGETATION MAINT/RESTORE
6616854,COMMERCIAL,Construction,ALTER
6570891,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6619335,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6531138,SINGLE FAMILY / DUPLEX,Construction,NEW
6573881,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6582644,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6576099,COMMERCIAL,Construction,ADD/ALT
6605265,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6576083,COMMERCIAL,Construction,ADD/ALT
6576080,COMMERCIAL,Construction,ADD/ALT
6576075,COMMERCIAL,Construction,ADD/ALT
6425146,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6576046,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6576022,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6566804,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6576001,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6588392,SINGLE FAMILY / DUPLEX,Construction,NEW
6570168,MULTIFAMILY,Construction,NEW
6565599,INDUSTRIAL,Construction,ADD/ALT
6576002,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6619217,MULTIFAMILY,Construction,NEW
6569842,MULTIFAMILY,Construction,NEW
6099381,,Construction,
6439508,SINGLE FAMILY / DUPLEX,Construction,NEW
6571035,COMMERCIAL,Construction,ADD/ALT
6574232,COMMERCIAL,Construction,TEMP
6601540,COMMERCIAL,Construction,ADD/ALT
6574964,SINGLE FAMILY / DUPLEX,Construction,NEW
6604882,SINGLE FAMILY / DUPLEX,Construction,NEW
6375750,COMMERCIAL,Construction,NEW
6575466,INDUSTRIAL,Construction,ADD/ALT
6603698,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6575924,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6575923,COMMERCIAL,Construction,ADD/ALT
6575917,COMMERCIAL,Construction,ADD/ALT
6570875,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6601968,COMMERCIAL,Construction,ADD/ALT
6555720,MULTIFAMILY,Construction,ADD/ALT
6618150,COMMERCIAL,Construction,ADD/ALT
6484272,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6572274,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6618961,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6572508,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6505471,COMMERCIAL,Construction,ADD/ALT
6605237,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6577832,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6575173,INDUSTRIAL,Construction,ADD/ALT
6461824,SINGLE FAMILY / DUPLEX,Construction,NEW
6572696,SINGLE FAMILY / DUPLEX,Construction,NO CONSTRUCTION
6455710,SINGLE FAMILY / DUPLEX,Construction,NEW
6566159,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6618845,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6598504,COMMERCIAL,Construction,ADD/ALT
6618248,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6606328,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6519533,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6590573,SINGLE FAMILY / DUPLEX,Construction,NEW
6591161,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6575693,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6534631,,Construction,
6619290,,Site Development,SHORELINE EXEMPTION ONLY
6603035,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6619301,COMMERCIAL,Construction,NEW
6575683,MULTIFAMILY,Construction,ADD/ALT
6615475,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6618209,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6569305,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6613949,MULTIFAMILY,Construction,NEW
6575203,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6576650,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6575562,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6575589,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6575566,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6146081,COMMERCIAL,Demolition,
6542234,SINGLE FAMILY / DUPLEX,Construction,NEW
6454647,COMMERCIAL,Construction,NEW
6617858,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6573774,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6469832,SINGLE FAMILY / DUPLEX,Construction,NEW
6615480,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6582052,SINGLE FAMILY / DUPLEX,Construction,NEW
6604312,COMMERCIAL,Construction,ADD/ALT
6575392,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6572374,COMMERCIAL,Demolition,DEMOLITION
6572373,COMMERCIAL,Demolition,DEMOLITION
6572376,COMMERCIAL,Demolition,DEMOLITION
6572375,COMMERCIAL,Demolition,DEMOLITION
6572372,COMMERCIAL,Demolition,DECONSTRUCTION
6572370,COMMERCIAL,Demolition,DEMOLITION
6572371,COMMERCIAL,Demolition,DEMOLITION
6586353,MULTIFAMILY,Construction,ADD/ALT
6575436,COMMERCIAL,Site Development,GRADING
6409211,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6596907,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6572046,,Site Development,TREE/VEGETATION MAINT/RESTORE
6603282,COMMERCIAL,Demolition,DEMOLITION
6575181,MULTIFAMILY,Demolition,DEMOLITION
6575180,MULTIFAMILY,Demolition,DEMOLITION
6538236,MULTIFAMILY,Construction,NEW
6516654,MULTIFAMILY,Construction,ADD/ALT
6476230,INDUSTRIAL,Construction,ADD/ALT
6578060,COMMERCIAL,Construction,ADD/ALT
6584119,SINGLE FAMILY / DUPLEX,Construction,NEW
6574931,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6575021,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6513556,COMMERCIAL,Demolition,DEMOLITION
6549092,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6590404,MULTIFAMILY,Demolition,DEMOLITION
6462285,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6562123,COMMERCIAL,Construction,ADD/ALT
6575033,COMMERCIAL,Construction,ADD/ALT
6575031,COMMERCIAL,Construction,ADD/ALT
6574415,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6575025,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6127050,COMMERCIAL,Construction,
6575006,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6574984,SINGLE FAMILY / DUPLEX,Site Development,TREE/VEGETATION MAINT/RESTORE
6574975,COMMERCIAL,Construction,ADD/ALT
6574911,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6618447,MULTIFAMILY,Construction,NEW
6612063,INDUSTRIAL,Construction,NEW
6573935,,Site Development,TREE/VEGETATION MAINT/RESTORE
6504446,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6469833,SINGLE FAMILY / DUPLEX,Construction,NEW
6574950,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6575802,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6605409,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6569456,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6501000,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6550275,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6584990,SINGLE FAMILY / DUPLEX,Construction,NEW
6618953,COMMERCIAL,Demolition,DEMOLITION
6422452,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6548788,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6601516,MULTIFAMILY,Construction,NEW
6574214,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6574739,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6469857,SINGLE FAMILY / DUPLEX,Construction,NEW
6573586,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6605389,COMMERCIAL,Construction,ADD/ALT
6603835,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6579499,MULTIFAMILY,Construction,ADD/ALT
6491802,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6549745,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6600011,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6548645,SINGLE FAMILY / DUPLEX,Construction,NEW
6602866,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6584676,INDUSTRIAL,Construction,ADD/ALT
6574547,MULTIFAMILY,Demolition,DEMOLITION
6562410,MULTIFAMILY,Construction,NEW
6569851,COMMERCIAL,Demolition,DEMOLITION
6480999,SINGLE FAMILY / DUPLEX,Construction,NEW
6605924,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6605241,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6550053,MULTIFAMILY,Construction,ADD/ALT
6618463,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6576731,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6574541,COMMERCIAL,Construction,ADD/ALT
6586897,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6604868,COMMERCIAL,Construction,NEW
6576992,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6562625,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6563853,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6570559,MULTIFAMILY,Construction,ADD/ALT
6618194,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6575326,MULTIFAMILY,Construction,NEW
6507273,COMMERCIAL,Construction,ADD/ALT
6576474,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6574288,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6117751,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6575689,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6589464,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6526486,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6618340,COMMERCIAL,Construction,ADD/ALT
6481197,COMMERCIAL,Construction,ADD/ALT
6562968,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6475686,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6574276,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6574284,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6616625,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6573617,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6521470,INDUSTRIAL,Site Development,GRADING
6588622,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6542980,COMMERCIAL,Construction,ADD/ALT
6546950,MULTIFAMILY,Demolition,DEMOLITION
6573718,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6618282,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6481605,SINGLE FAMILY / DUPLEX,Construction,NEW
6592965,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6618659,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6610358,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6482366,SINGLE FAMILY / DUPLEX,Construction,NEW
6579441,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6420501,MULTIFAMILY,Construction,NEW
6547291,SINGLE FAMILY / DUPLEX,Construction,NEW
6542269,COMMERCIAL,Construction,NEW
6606064,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6504346,COMMERCIAL,Construction,NEW
6558262,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6574052,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6591146,COMMERCIAL,Construction,ALTER
6598956,COMMERCIAL,Construction,ADD/ALT
6562524,INSTITUTIONAL,Construction,ADD/ALT
6465876,MULTIFAMILY,Construction,ADD/ALT
6590579,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6570886,MULTIFAMILY,Construction,ADD/ALT
6516553,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6367485,COMMERCIAL,Construction,NEW
6482406,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6561170,COMMERCIAL,Construction,NEW
6588084,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6297499,INDUSTRIAL,Construction,
6603567,SINGLE FAMILY / DUPLEX,Construction,NEW
6603403,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6433030,COMMERCIAL,Construction,ADD/ALT
6618987,INSTITUTIONAL,Construction,ADD/ALT
6573933,,Site Development,TREE/VEGETATION MAINT/RESTORE
6573852,COMMERCIAL,Construction,ADD/ALT
6573856,COMMERCIAL,Construction,ADD/ALT
6593228,COMMERCIAL,Construction,ADD/ALT
6597566,MULTIFAMILY,Demolition,DEMOLITION
6529061,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6578267,INDUSTRIAL,Site Development,GRADING
6544851,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6582307,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6573787,COMMERCIAL,Construction,ADD/ALT
6605349,SINGLE FAMILY / DUPLEX,Construction,NEW
6481947,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6449931,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6590403,MULTIFAMILY,Demolition,DEMOLITION
6618088,SINGLE FAMILY / DUPLEX,Construction,NEW
6612315,MULTIFAMILY,Construction,NEW
6501749,COMMERCIAL,Construction,NEW
6612289,COMMERCIAL,Construction,ADD/ALT
6573659,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6600656,MULTIFAMILY,Construction,NEW
6409484,SINGLE FAMILY / DUPLEX,Construction,NEW
6616025,INSTITUTIONAL,Construction,ADD/ALT
6567125,COMMERCIAL,Construction,ADD/ALT
6615653,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6606754,SINGLE FAMILY / DUPLEX,Construction,NEW
6529399,COMMERCIAL,Construction,NEW
6619231,MULTIFAMILY,Construction,NEW
6500973,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6573535,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6573529,SINGLE FAMILY / DUPLEX,Site Development,TREE/VEGETATION MAINT/RESTORE
6569113,COMMERCIAL,Construction,NEW
6533255,COMMERCIAL,Construction,ADD/ALT
6617727,COMMERCIAL,Construction,ADD/ALT
6582507,COMMERCIAL,Construction,NEW
6615656,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6595378,SINGLE FAMILY / DUPLEX,Construction,NEW
6460369,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6616890,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6573515,COMMERCIAL,Construction,ADD/ALT
6554079,INSTITUTIONAL,Construction,ADD/ALT
6605082,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6615579,COMMERCIAL,Construction,ADD/ALT
6615563,INSTITUTIONAL,Construction,ADD/ALT
6591788,COMMERCIAL,Construction,ADD/ALT
6573480,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6566645,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6544011,SINGLE FAMILY / DUPLEX,Construction,NEW
6617773,COMMERCIAL,Demolition,DEMOLITION
6590330,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6605178,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6573471,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6589905,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6565039,,Site Development,TREE/VEGETATION MAINT/RESTORE
6553329,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6604024,INDUSTRIAL,Construction,ADD/ALT
6464205,COMMERCIAL,Construction,ADD/ALT
6590854,INSTITUTIONAL,Construction,ADD/ALT
6573334,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6568362,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6518219,COMMERCIAL,Construction,ADD/ALT
6573326,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6582063,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6591261,COMMERCIAL,Construction,ADD/ALT
6573262,COMMERCIAL,Construction,ADD/ALT
6562412,COMMERCIAL,Construction,ADD/ALT
6485280,MULTIFAMILY,Construction,NEW
6467867,COMMERCIAL,Construction,NEW
6605552,COMMERCIAL,Construction,ADD/ALT
6591852,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6586682,COMMERCIAL,Construction,ADD/ALT
6543004,COMMERCIAL,Construction,ADD/ALT
6565898,COMMERCIAL,Construction,ADD/ALT
6556996,SINGLE FAMILY / DUPLEX,Construction,NEW
6618443,MULTIFAMILY,Construction,NEW
6618336,COMMERCIAL,Construction,ADD/ALT
6618482,INSTITUTIONAL,Construction,NEW
6617294,COMMERCIAL,Construction,ADD/ALT
6604578,MULTIFAMILY,Construction,ADD/ALT
6531146,MULTIFAMILY,Construction,NEW
6605575,MULTIFAMILY,Construction,ADD/ALT
6508852,MULTIFAMILY,Construction,ADD/ALT
